Episode,Total Steps,Episode Reward,Average Reward,Best Reward,Actor Loss,Critic Loss,Actor LR,Buffer Size
48,3549,3.59999999999994,2.4874999999999914,17.55000000000025,0,0,3e-05,3549
49,3614,0.6499999999999444,2.4499999999999904,17.55000000000025,0,0,3e-05,3614
50,3712,1.7500000000000737,2.435999999999992,17.55000000000025,0,0,3e-05,3712
51,3784,2.6999999999999584,2.4411764705882266,17.55000000000025,0,0,3e-05,3784
52,3860,4.500000000000177,2.480769230769226,17.55000000000025,0,0,3e-05,3860
53,3946,0.1999999999999167,2.437735849056597,17.55000000000025,0,0,3e-05,3946
54,4018,2.699999999999938,2.4425925925925847,17.55000000000025,0,0,3e-05,4018
55,4081,0.29999999999994653,2.4036363636363554,17.55000000000025,0,0,3e-05,4081
56,4159,0.9999999999999316,2.378571428571419,17.55000000000025,0,0,3e-05,4159
57,4229,2.34999999999994,2.3780701754385856,17.55000000000025,0,0,3e-05,4229
58,4311,2.2499999999999245,2.375862068965505,17.55000000000025,0,0,3e-05,4311
59,4402,0.799999999999911,2.3491525423728676,17.55000000000025,0,0,3e-05,4402
60,4475,3.1499999999999373,2.3624999999999856,17.55000000000025,0,0,3e-05,4475
61,4564,-0.10000000000008402,2.3221311475409685,17.55000000000025,0,0,3e-05,4564
62,4634,2.34999999999994,2.3225806451612745,17.55000000000025,0,0,3e-05,4634
63,4699,0.649999999999948,2.2960317460317294,17.55000000000025,0,0,3e-05,4699
64,4774,4.050000000000025,2.3234374999999847,17.55000000000025,0,0,3e-05,4774
65,4853,1.999999999999928,2.318461538461522,17.55000000000025,0,0,3e-05,4853
66,4948,-2.3500000000000947,2.247727272727255,17.55000000000025,0,0,3e-05,4948
67,5023,4.049999999999939,2.2746268656716233,17.55000000000025,0,0,3e-05,5023
68,5098,3.499999999999935,2.29264705882351,17.55000000000025,0,0,3e-05,5098
69,5163,0.6499999999999444,2.268840579710125,17.55000000000025,0,0,3e-05,5163
70,5231,1.4499999999999416,2.2571428571428367,17.55000000000025,0,0,3e-05,5231
71,5305,4.150000000000165,2.283802816901391,17.55000000000025,0,0,3e-05,5305
72,5370,0.6499999999999462,2.2611111111110933,17.55000000000025,0,0,3e-05,5370
73,5443,3.1499999999999435,2.2732876712328585,17.55000000000025,0,0,3e-05,5443
74,5516,3.149999999999941,2.2851351351351163,17.55000000000025,0,0,3e-05,5516
75,5590,4.149999999999941,2.3099999999999805,17.55000000000025,0,0,3e-05,5590
76,5686,0.2999999999999057,2.2835526315789267,17.55000000000025,0,0,3e-05,5686
77,5759,3.149999999999939,2.294805194805174,17.55000000000025,0,0,3e-05,5759
78,5825,1.0999999999999437,2.279487179487158,17.55000000000025,0,0,3e-05,5825
79,5928,2.3500000000001497,2.2803797468354237,17.55000000000025,0,0,3e-05,5928
80,6003,3.4999999999999565,2.2956249999999807,17.55000000000025,0,0,3e-05,6003
