Episode,Total Steps,Episode Reward,Actor Loss,Critic Loss,Actor LR,Buffer Size
1,95,46.462289579446555,nan,nan,0.0003,95
2,231,2.362308362322201,nan,nan,0.0003,231
3,305,2.9703131458974,nan,nan,0.0003,305
4,1905,287.6463636528332,nan,nan,0.0003,1905
5,1999,-4.145632885474116,nan,nan,0.0003,1999
6,2066,-1.1642535282236484,nan,nan,0.0003,2066
7,3666,351.4842540958235,nan,nan,0.0003,3666
8,3721,-6.638955756190363,nan,nan,0.0003,3721
9,3788,0.9995816443025678,nan,nan,0.0003,3788
10,3842,-0.29369123504368666,nan,nan,0.0003,3842
11,3966,5.208649147307044,nan,nan,0.0003,3966
12,4041,-0.1443181734122021,nan,nan,0.0003,4041
13,4178,-2.9373414695721856,nan,nan,0.0003,4178
14,4238,-1.2357482061465053,nan,nan,0.0003,4238
15,5838,357.89921225365003,nan,nan,0.0003,5838
16,7438,312.20272072218404,nan,nan,0.0003,7438
17,9038,286.71098198148644,nan,nan,0.0003,9038
18,9132,-4.157181306383175,nan,nan,0.0003,9132
19,9185,-7.246918136752003,nan,nan,0.0003,9185
20,9263,-0.9662076037532454,nan,nan,0.0003,9263
21,10863,357.5699674063846,nan,0.107692189514637,0.0003,10863
22,10950,3.925323729012746,nan,0.07942014932632446,0.0003,10950
23,12550,314.2190957847669,nan,0.2795366644859314,0.0003,12550
24,12595,-7.149352799301512,nan,0.2533356845378876,0.0003,12595
25,14195,303.064157285132,nan,0.3009416460990906,0.0003,14195
26,14276,-7.313573043237188,nan,0.3328614830970764,0.0003,14276
27,14354,-1.3245553996227102,nan,0.20417916774749756,0.0003,14354
28,14440,-4.575788021402242,nan,0.5556357502937317,0.0003,14440
29,14493,-5.47026005930639,nan,0.1815599948167801,0.0003,14493
30,14596,4.132344995750309,nan,0.38119515776634216,0.0003,14596
31,14661,-0.02387151428969503,nan,0.474625825881958,0.0003,14661
32,16261,324.6355409766328,nan,0.4356966018676758,0.0003,16261
33,17861,330.2130446357872,nan,0.6182219982147217,0.0003,17861
34,19461,355.8974084303594,nan,1.2464725971221924,0.0003,19461
35,19548,-0.5843831205971899,nan,1.250852108001709,0.0003,19548
36,20181,71.62845712025998,nan,1.58685302734375,0.0003,20181
37,20241,-2.762794185236787,nan,1.3043122291564941,0.0003,20241
38,20304,-3.4580710675218373,nan,1.1877436637878418,0.0003,20304
39,20363,-2.964833004244065,nan,1.0576618909835815,0.0003,20363
40,20418,-3.36241567837612,nan,1.060671329498291,0.0003,20418
