Episode,Reward
0,0
1,10.323076923077116
2,1.5402597402597578
3,9.045255474452695
4,0.9870129870130141
5,-3.32026143790846
6,-6.34871794871794
7,2.7335463258787054
8,6.847552447552612
9,13.382089552238769
10,1.802076124567578
11,-1.0421052631578747
12,2.4701107011070356
13,-5.072140762463317
14,0.415015015015048
15,4.400000000000082
16,2.4576271186441883
17,0.4909090909091851
18,-0.3264604810996414
19,3.9148936170213715
20,6.359055118110312
21,4.9230769230770175
22,0.6087774294671315
23,9.10769230769243
24,0.5186119873818483
25,0.9539936102237144
26,9.8136882129278
27,8.314176245210836
28,0.5333333333333449
29,28.556834532373877
30,4.561403508772001
31,2.708038585209065
32,11.090140845070472
33,3.4172284644195523
34,9.431847133758055
35,5.276595744680906
36,41.70526315789433
37,20.478260869565077
38,19.54285714285669
39,9.26419753086427
40,11.61008403361345
41,9.281660899654044
42,21.482051282051156
43,31.54912891986045
44,14.758885017421521
45,7.108474576271268
46,12.339776951672855
47,21.803960396039493
48,9.077815699658743
49,11.411371237458205
50,23.220560747663015
51,10.270588235294166
52,9.777777777777844
53,6.492993630573306
54,20.16842105263101
55,10.188059701492575
56,64.98541033434687
57,23.56103896103885
58,17.410332103320897
59,13.847887323943613
60,28.037113402061728
61,27.878260869565096
62,25.819047619047453
63,12.955852842809344
64,23.254889589905247
65,12.026315789473681
66,28.924637681159226
67,82.91366906474866
68,32.04242424242409
69,31.833333333333194
70,9.952313167259822
71,14.157232704402466
72,11.182733812949651
73,17.507865168539183
74,62.91126279863504
75,21.900369003689942
76,14.815094339622583
77,30.8833333333331
78,10.292993630573282
79,7.64137931034486
80,43.50256410256389
81,13.34744525547442
82,17.655900621117908
83,18.167032967032853
84,19.658064516128928
85,11.496385542168689
86,17.348881789137295
87,40.01639344262283
88,12.572602739726014
89,23.327526132404067
90,18.973289902280037
91,21.365034965034862
92,20.75704697986568
93,19.658064516128935
94,13.870758122743634
95,8.692604501607754
96,20.338658146964747
97,39.640963855421454
98,42.39270072992667
99,21.65641025641014
100,46.93642384105936
101,19.14186851211063
102,33.759712230215705
103,46.389189189189054
104,13.209523809523773
105,18.26853146853138
106,15.091408934707822
107,20.89473684210516
108,37.74452554744511
109,24.95535168195706
110,87.46486486486535
111,13.454982817869372
112,28.604620462046043
113,30.73725490196066
114,38.32839506172817
115,9.942408376963384
116,23.913677811550016
117,41.02352941176455
118,25.041176470588088
119,22.53103448275846
120,9.133554817275785
121,125.82578397212606
122,20.583783783783687
123,25.34426229508186
124,50.72423208191093
125,31.774647887323823
126,21.78536585365842
127,49.80660066006583
128,75.84081632653101
129,41.820477815699505
130,162.29655172413925
131,13.675524475524437
132,146.7967479674805
133,19.847133757961686
134,47.1465798045601
135,114.31010452961776
136,195.33688212927882
137,33.343689320388215
138,89.1021582733818
139,73.13684210526348
140,136.60805369127652
141,52.197411003236056
142,141.01180811808223
143,143.0352159468447
144,299.5605536332162
145,114.6214022140229
146,156.56716417910542
147,125.8258064516138
148,237.37841726618888
149,70.76603773584942
150,63.56028368794356
151,163.23418803418878
152,337.40538720538535
153,170.7250000000011
154,141.6666666666674
155,57.662068965517065
156,43.25569620253138
