Episode,Reward
1,-99.73390038870771
2,-69.00403512695664
3,-66.12757804410703
4,-113.12849372036258
5,-104.51676220523628
6,-110.63802296857412
7,-62.612851681972614
8,-57.06201829543961
9,-110.32028353465907
10,-106.84823060706816
11,-114.73608080560713
12,-111.50089505852634
13,-103.32388656944471
14,-109.88277512273254
15,-57.9792310001801
16,-115.41308408334416
17,-101.00925457369598
18,-105.87157910861075
19,-111.4312527185126
20,-107.48326548150926
21,-115.84146811333112
22,-101.80175799879804
23,-59.69293267844371
24,-58.55091974643807
25,-64.10895490599852
26,-102.5390279250977
27,-57.41983229851548
28,-58.71588873733523
29,-100.07801480155065
30,-114.45349311761869
31,-59.98289170843851
32,-56.75573465015554
33,-97.4838848443348
34,-67.42479552044588
35,-103.89720237339847
36,-73.34193926996859
37,-68.32719914874681
38,-67.93619041843088
39,-63.87033815558495
40,-61.00316205648264
41,-59.23590872127996
42,-59.450356444610264
43,-53.06709934952857
44,-52.80837764417075
45,-48.058397663034505
46,-50.47603679595897
47,-48.431098550025936
48,-47.95672349386348
49,-37.41228385185828
50,-32.29306066054162
51,-38.76742069972426
52,-107.3933870368097
53,-35.78443638223097
54,-41.30740978003296
55,-44.59045550814326
56,-43.804919933864255
57,-46.13996464360315
58,-105.78573217445923
59,-44.64873975423291
60,-110.23246464623386
61,-56.04599037537097
62,-47.27776933979618
63,-109.44683298127478
64,-114.92771595946513
65,-45.321495604518184
66,-50.5731454704913
67,-109.01529232025518
68,-46.84616876074421
69,-46.852050583055295
70,-48.63397384085318
71,-46.850466464595854
72,-49.73090181940043
73,-43.83302109295875
74,-51.615982255878
75,-51.99688462276941
76,-45.31895582759257
77,-41.24789825698666
78,-42.76715310223336
79,-44.886143223150306
80,-44.651266258866144
81,-39.65557567763762
82,-42.134082784822304
83,-44.70054587487132
84,-40.693430376837696
85,-44.92598044029936
86,-40.13714101450579
87,-38.65942057593967
88,-36.83669879099225
89,-34.428194901879905
90,-35.05889962421737
91,-35.11046411360368
92,-29.620227767721428
